"TJX Companies, Inc. (The)","TJX",71.41,71.77,"71.60 - 72.33",80.92,66.66,72.89,73.20,3350913,N/A,N/A,3902390
"Torchmark Corporation","TMK",82.53,83.38,"82.92 - 83.48",83.48,62.86,79.29,77.46,459829,N/A,N/A,374762
"Total System Services, Inc.","TSS",67.33,67.66,"67.57 - 68.33",70.62,46.92,67.38,61.65,932500,N/A,N/A,1263270
"Tractor Supply Company","TSCO",58.43,58.57,"58.32 - 59.11",78.25,49.87,60.96,58.27,1934156,100,100,2155390
"Transdigm Group Incorporated Tr","TDG",264.50,265.78,"263.54 - 268.62",295.00,203.72,260.23,262.83,329392,N/A,N/A,434571
"Transocean Ltd (Switzerland)","RIG",10.17,10.17,"9.91 - 10.19",16.66,7.20,9.83,9.50,9475813,N/A,N/A,17452600
"TripAdvisor, Inc.","TRIP",40.48,40.66,"40.19 - 40.77",65.56,35.34,42.36,40.97,1595687,400,400,2967850
"Twenty-First Century Fox, Inc.","FOXA",27.37,27.55,"27.31 - 27.64",32.60,25.14,26.69,27.98,8879892,100,500,7320420
"Twenty-First Century Fox, Inc. ","FOX",26.70,26.88,"26.64 - 26.94",31.94,24.78,26.16,27.55,1428129,100,100,2552550
"Tyson Foods, Inc.","TSN",71.41,71.61,"71.39 - 71.81",72.22,55.72,68.05,63.50,1598928,N/A,N/A,2394490
"U.S. Bancorp","USB",53.59,54.15,"53.82 - 54.23",56.61,43.70,52.96,52.12,7021552,N/A,N/A,5335200
"UDR, Inc.","UDR",38.52,38.52,"38.21 - 38.57",40.71,32.79,38.61,38.45,1373346,N/A,N/A,1227340
"Ulta Beauty, Inc.","ULTA",204.62,205.72,"203.17 - 207.64",314.86,187.96,218.30,260.11,1114744,100,100,1459890
"Under Armour, Inc. Class C","UA",15.02,15.12,"15.11 - 16.02",33.40,14.80,15.49,17.55,6757945,N/A,N/A,3906660
"Under Armour, Inc. Class A","UAA",16.45,16.55,"16.53 - 17.61",38.38,15.92,16.83,19.06,8794405,N/A,N/A,4435920
"Union Pacific Corporation","UNP",112.01,112.95,"112.28 - 113.29",116.93,87.06,112.08,108.69,4982723,N/A,N/A,3373300
"United Continental Holdings","UAL",59.78,60.00,"59.33 - 61.15",83.04,52.21,62.09,70.41,10397370,N/A,N/A,5156200
"UnitedHealth Group Incorporated","UNH",203.25,204.26,"203.69 - 208.21",208.21,136.22,197.42,185.93,5138814,N/A,N/A,2867510
"United Parcel Service, Inc.","UPS",119.42,119.59,"119.51 - 120.43",120.80,102.12,117.75,111.22,2427577,N/A,N/A,2295650
"United Rentals, Inc.","URI",144.40,144.81,"144.03 - 146.69",147.60,70.58,134.92,118.43,2525019,N/A,N/A,1365790
"United Technologies Corporation","UTX",119.49,119.96,"119.76 - 120.93",124.79,99.08,115.48,118.37,2514652,N/A,N/A,3560880
"Universal Health Services, Inc.","UHS",110.54,111.08,"110.42 - 113.06",129.74,99.72,109.55,115.03,1359783,N/A,N/A,798762
"Unum Group","UNM",52.28,52.87,"52.23 - 52.91",52.91,34.83,50.38,47.90,903747,N/A,N/A,992249
"Urban Outfitters, Inc.","URBN",23.72,23.94,"23.82 - 24.66",40.80,16.19,23.01,20.63,2374474,500,100,3845210
"V.F. Corporation","VFC",65.35,65.93,"65.73 - 66.97",66.97,48.05,63.59,58.78,4613007,N/A,N/A,2193500
"Valero Energy Corporation","VLO",77.63,78.44,"77.39 - 78.44",78.64,55.62,74.39,68.01,4149907,N/A,N/A,3662750
"Varian Medical Systems, Inc.","VAR",105.60,106.00,"105.65 - 107.74",107.87,75.20,104.08,99.85,839589,N/A,N/A,739518
"Ventas, Inc.","VTR",63.02,63.10,"62.53 - 63.10",72.36,56.20,65.88,66.62,1428655,N/A,N/A,1491760
"VeriSign, Inc.","VRSN",108.19,108.91,"108.60 - 109.65",110.82,75.71,106.12,96.95,702554,N/A,N/A,691852
"Verisk Analytics, Inc.","VRSK",84.91,85.00,"84.76 - 85.37",88.17,75.60,82.75,82.14,749091,300,100,713772
"Verizon Communications Inc.","VZ",49.21,49.45,"48.93 - 49.59",54.83,42.80,48.52,47.03,16259580,N/A,N/A,14755500
"Vertex Pharmaceuticals Incorpor","VRTX",154.60,154.97,"152.60 - 155.85",167.86,71.46,154.14,137.63,1320895,100,100,1507660
"Viacom Inc. - Class B","VIAB",26.53,26.64,"26.36 - 26.88",46.72,23.45,27.10,33.51,3806463,4000,100,5576840
"Visa Inc.","V",107.02,107.70,"106.97 - 107.70",109.26,75.17,105.76,98.25,7848922,N/A,N/A,6811050
"Vornado Realty Trust","VNO",74.85,74.72,"73.66 - 74.92",90.32,69.81,76.27,76.96,1921264,N/A,N/A,1085960
"Vulcan Materials Company (Holdi","VMC",120.04,120.58,"120.08 - 122.54",138.18,108.95,118.09,122.38,1107413,N/A,N/A,1249660
"Wal-Mart Stores, Inc.","WMT",86.40,86.60,"86.28 - 87.45",87.45,65.28,81.17,78.10,7617753,N/A,N/A,8697730
"Walgreens Boots Alliance, Inc.","WBA",67.20,67.21,"67.06 - 68.31",89.69,66.92,76.37,80.09,8822118,400,400,5912780
"Waste Management, Inc.","WM",77.37,77.65,"77.55 - 77.88",79.28,62.33,77.52,74.71,1357472,N/A,N/A,1753320
"Waters Corporation","WAT",185.45,186.69,"185.95 - 189.27",190.39,133.35,184.25,178.42,632439,N/A,N/A,480845
"WEC Energy Group, Inc.","WEC",66.59,66.54,"66.35 - 66.86",67.20,53.66,64.91,63.03,1578026,N/A,N/A,1546920
"Wells Fargo & Company","WFC",53.75,54.21,"54.04 - 55.07",59.99,44.49,53.37,53.50,28407666,N/A,N/A,18094800
"Welltower Inc.","HCN",68.18,68.21,"67.75 - 68.21",78.17,59.39,71.05,72.44,1529958,N/A,N/A,1679360
"Western Digital Corporation","WDC",85.48,86.37,"86.00 - 87.72",95.77,53.11,86.58,87.59,2764594,300,100,4150400
"Western Union Company (The)","WU",19.86,20.00,"19.97 - 20.39",22.70,18.39,19.24,19.26,4094419,N/A,N/A,3225080
"Westrock Company","WRK",59.60,59.90,"59.74 - 60.54",60.54,43.79,57.78,56.04,1214109,N/A,N/A,1345580
"Weyerhaeuser Company","WY",35.18,35.29,"35.15 - 35.47",35.50,28.58,33.87,33.39,2216235,N/A,N/A,2764220
